c1,c2,c1_wins,c2_wins,total_games
Daisy,Greninja,2,3,5
Daisy,Hero,0,0,0
Daisy,Ice_Climbers,0,0,0
Daisy,Ike,0,0,0
Daisy,Incineroar,0,0,0
Daisy,Inkling,0,4,4
Daisy,Isabelle,0,0,0
Daisy,Jigglypuff,0,0,0
Daisy,Joker,2,6,8
Daisy,Ken,0,0,0
Daisy,King_Dedede,2,2,4
Daisy,King_K_Rool,0,0,0
Daisy,Kirby,0,0,0
Daisy,Link,0,0,0
Daisy,Little_Mac,0,0,0
Daisy,Lucario,0,0,0
Daisy,Lucas,0,0,0
Daisy,Lucina,4,4,8
Daisy,Luigi,0,0,0
Daisy,Mario,0,0,0
Daisy,Marth,0,0,0
Daisy,Mega_Man,1,2,3
Daisy,Meta_Knight,0,0,0
Daisy,Mewtwo,0,0,0
Daisy,Mii_Brawler,0,0,0
Daisy,Mii_Gunner,0,0,0
Daisy,Mii_Swordfighter,0,0,0
Daisy,Mr_Game_&_Watch,4,6,10
Daisy,Ness,0,0,0
Daisy,Olimar,2,7,9
Daisy,Pac-Man,2,0,2
Daisy,Palutena,0,2,2
Daisy,Peach,0,1,1
Daisy,Pichu,7,6,13
Daisy,Pikachu,4,0,4
Daisy,Piranha_Plant,0,0,0
Daisy,Pit,0,0,0
Daisy,Pokemon_Trainer,3,1,4
Daisy,ROB,0,0,0
Daisy,Richter,0,0,0
Daisy,Ridley,0,0,0
Daisy,Robin,0,0,0
Daisy,Rosalina,0,0,0
Daisy,Roy,2,3,5
Daisy,Ryu,2,1,3
Daisy,Samus,0,0,0
Daisy,Sheik,0,0,0
Daisy,Shulk,0,0,0
Daisy,Simon,0,0,0
Daisy,Snake,1,2,3
Daisy,Sonic,1,3,4
Daisy,Terry,0,0,0
Daisy,Toon_Link,1,2,3
Daisy,Villager,0,0,0
Daisy,Wario,0,2,2
Daisy,Wii_Fit_Trainer,0,0,0
Daisy,Wolf,4,1,5
Daisy,Yoshi,2,1,3
Daisy,Young_Link,0,0,0
Daisy,Zelda,0,0,0
Daisy,Zero_Suit_Samus,5,3,8
Dark_Pit,Dark_Samus,0,0,0
Dark_Pit,Diddy_Kong,0,0,0
Dark_Pit,Donkey_Kong,0,0,0
Dark_Pit,Dr_Mario,0,0,0
Dark_Pit,Duck_Hunt,0,0,0
Dark_Pit,Falco,0,0,0
Dark_Pit,Fox,0,0,0
Dark_Pit,Ganondorf,0,0,0
